Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
466,iHeartMedia,"18,300",-14,"$6,326.00",2.60%,-$201.90,-,"$12,270.00",$97.00,2019
467,Franklin Resources,"9,691",-26,"$6,319.00",-1.10%,$764.40,-54.90%,"$14,384.00","$16,885.00",2019
468,Ameren,"8,838",-15,"$6,291.00",1.80%,$815.00,55.80%,"$27,215.00","$18,051.00",2019
469,Intercontinental Exchange,"5,161",8,"$6,276.00",7.60%,"$1,988.00",-20.90%,"$92,791.00","$43,074.00",2019
470,S&P Global,"21,200",-7,"$6,258.00",3.20%,"$1,958.00",30.90%,"$9,458.00","$51,812.00",2019
471,Post Holdings,"11,550",-,"$6,257.00",19.70%,$467.30,867.50%,"$13,058.00","$7,275.00",2019
472,Analog Devices,"15,800",-,"$6,201.00",21.40%,"$1,495.40",105.60%,"$20,450.00","$38,772.00",2019
473,Ralph Lauren,"18,150",-52,"$6,182.00",-7.10%,$162.80,-,"$6,143.00","$10,196.00",2019
474,Harris,"17,500",-67,"$6,182.00",-10.90%,$718.00,29.80%,"$9,839.00","$18,840.00",2019
475,Booz Allen Hamilton,"24,600",7,"$6,172.00",6.30%,$305.10,20.80%,"$3,603.00","$8,144.00",2019
476,Polaris Industries,"12,000",20,"$6,166.00",12.00%,$335.30,94.40%,"$4,125.00","$5,153.00",2019
477,Clorox,"8,700",-9,"$6,124.00",2.50%,$823.00,17.40%,"$5,060.00","$20,565.00",2019
478,Realogy Holdings,"11,400",-20,"$6,079.00",-0.60%,$137.00,-68.20%,"$7,290.00","$1,302.00",2019
479,HD Supply Holdings,"11,500",-49,"$6,047.00",-7.50%,$394.00,-59.40%,"$4,233.00","$7,402.00",2019
480,Graphic Packaging Holding,"18,000",-,"$6,023.00",36.80%,$221.10,-26.30%,"$7,059.00","$3,733.00",2019
481,Old Republic International,"9,000",-31,"$6,022.00",-3.90%,$370.50,-33.90%,"$19,327.00","$6,334.00",2019
482,Intuit,"8,900",-,"$5,964.00",15.20%,"$1,211.00",24.70%,"$5,178.00","$67,724.00",2019
483,NetApp,"10,300",12,"$5,911.00",7.10%,$76.00,-85.10%,"$9,865.00","$17,125.00",2019
484,Tapestry,"16,900",-,"$5,880.00",31.00%,$397.50,-32.70%,"$6,678.00","$9,421.00",2019
485,ON Semiconductor,"35,700",7,"$5,878.00",6.00%,$627.40,-22.60%,"$7,588.00","$8,475.00",2019
486,Ingredion,"11,000",-8,"$5,841.00",0.20%,$443.00,-14.60%,"$5,728.00","$6,313.00",2019
487,Zoetis,"10,000",-,"$5,825.00",9.80%,"$1,428.00",65.30%,"$10,777.00","$48,198.00",2019
488,Fiserv,"24,000",-1,"$5,823.00",2.20%,"$1,187.00",-4.70%,"$11,262.00","$34,603.00",2019
489,TreeHouse Foods,"12,700",-43,"$5,812.00",-7.80%,-$61.40,-,"$5,599.00","$3,614.00",2019
490,Robert Half International,"18,900",-,"$5,800.00",10.10%,$434.30,49.50%,"$1,903.00","$7,759.00",2019
491,First American Financial,"18,251",-8,"$5,748.00",-0.40%,$474.50,12.20%,"$10,631.00","$5,765.00",2019
492,Harley-Davidson,"5,900",-4,"$5,717.00",1.20%,$531.50,1.90%,"$10,666.00","$5,671.00",2019
493,Windstream Holdings,"11,945",-19,"$5,713.00",-2.40%,-$723.00,-,"$10,258.00",$13.00,2019
494,Yum Brands,"34,000",-22,"$5,688.00",-3.20%,"$1,542.00",15.10%,"$4,130.00","$30,583.00",2019
495,Williams-Sonoma,"19,800",-,"$5,672.00",7.20%,$333.70,28.60%,"$2,813.00","$4,435.00",2019
496,Simon Property Group,"4,150",-3,"$5,658.00",2.20%,"$2,440.10",25.30%,"$30,686.00","$56,302.00",2019
497,Navient,"6,500",-,"$5,610.00",8.30%,$395.00,35.30%,"$104,176.00","$2,829.00",2019
498,Western Union,"12,000",-4,"$5,590.00",1.20%,$851.90,-,"$8,997.00","$8,051.00",2019
499,Peabody Energy,"7,400",-8,"$5,582.00",0.10%,$646.90,-,"$7,424.00","$3,066.00",2019
500,Levi Strauss,"15,100",-,"$5,575.00",13.70%,$283.10,0.60%,"$3,543.00","$9,208.00",2019
1,Walmart,"2,300,000",1,"$500,343.00",3.00%,"$9,862.00",-27.70%,"$204,522.00","$263,563.00",2018
2,Exxon Mobil,"71,200",4,"$244,363.00",17.40%,"$19,710.00",151.40%,"$348,691.00","$316,157.00",2018
3,Berkshire Hathaway,"377,000",2,"$242,137.00",8.30%,"$44,940.00",86.70%,"$702,095.00","$492,008.00",2018
4,Apple,"123,000",3,"$229,234.00",6.30%,"$48,351.00",5.80%,"$375,319.00","$851,318.00",2018
5,UnitedHealth Group,"260,000",6,"$201,159.00",8.80%,"$10,558.00",50.50%,"$139,058.00","$207,080.00",2018
6,McKesson,"64,500",5,"$198,533.00",3.10%,"$5,070.00",124.50%,"$60,969.00","$29,067.00",2018
7,CVS Health,"203,000",7,"$184,765.00",4.10%,"$6,622.00",24.50%,"$95,131.00","$63,114.00",2018
8,Amazon.com,"566,000",12,"$177,866.00",30.80%,"$3,033.00",27.90%,"$131,310.00","$700,668.00",2018
9,AT&T,"254,000",9,"$160,546.00",-2.00%,"$29,450.00",127.00%,"$444,097.00","$218,946.00",2018
10,General Motors,"180,000",8,"$157,311.00",-5.50%,"-$3,864.00",-141.00%,"$212,482.00","$50,972.00",2018
11,Ford Motor,"202,000",10,"$156,776.00",3.30%,"$7,602.00",65.40%,"$257,808.00","$44,244.00",2018
12,AmerisourceBergen,"19,500",11,"$153,144.00",4.30%,$364.50,-74.50%,"$35,317.00","$18,938.00",2018
13,Chevron,"51,900",19,"$134,533.00",25.10%,"$9,195.00",-,"$253,806.00","$217,845.00",2018
14,Cardinal Health,"40,400",15,"$129,976.00",6.90%,"$1,288.00",-9.70%,"$40,112.00","$19,726.00",2018
15,Costco,"182,000",16,"$129,025.00",8.70%,"$2,679.00",14.00%,"$36,347.00","$82,687.00",2018
16,Verizon,"155,400",14,"$126,034.00",0.00%,"$30,101.00",129.30%,"$257,143.00","$197,497.00",2018
17,Kroger,"449,000",18,"$122,662.00",6.40%,"$1,907.00",-3.40%,"$37,197.00","$20,828.00",2018
18,General Electric,"313,000",13,"$122,274.00",-3.50%,"-$5,786.00",-165.50%,"$377,945.00","$117,054.00",2018
19,Walgreens Boots Alliance,"290,000",17,"$118,214.00",0.70%,"$4,078.00",-2.30%,"$66,009.00","$64,924.00",2018
20,JPMorgan Chase,"252,539",21,"$113,899.00",8.00%,"$24,441.00",-1.20%,"$2,533,600.00","$375,043.00",2018
21,Fannie Mae,"7,200",20,"$112,394.00",4.90%,"$2,463.00",-80.00%,"$3,345,529.00","$1,633.00",2018
22,Alphabet,"80,110",27,"$110,855.00",22.80%,"$12,662.00",-35.00%,"$197,295.00","$719,124.00",2018
23,Home Depot,"413,000",23,"$100,904.00",6.70%,"$8,630.00",8.50%,"$44,529.00","$206,272.00",2018
24,Bank of America Corp.,"209,376",26,"$100,264.00",7.00%,"$18,232.00",1.80%,"$2,281,234.00","$306,618.00",2018
25,Express Scripts Holding,"26,600",22,"$100,065.00",-0.20%,"$4,517.40",32.70%,"$54,256.00","$38,791.00",2018
26,Wells Fargo,"262,700",25,"$97,741.00",3.80%,"$22,183.00",1.10%,"$1,951,757.00","$255,556.00",2018
27,Boeing,"140,800",24,"$93,392.00",-1.20%,"$8,197.00",67.50%,"$92,333.00","$192,539.00",2018
28,Phillips 66,"14,600",34,"$91,568.00",26.50%,"$5,106.00",228.40%,"$54,371.00","$44,730.00",2018
29,Anthem,"56,000",29,"$90,039.00",6.10%,"$3,842.80",55.60%,"$70,540.00","$56,182.00",2018
30,Microsoft,"124,000",28,"$89,950.00",5.40%,"$21,204.00",26.20%,"$241,086.00","$702,760.00",2018
31,Valero Energy,"10,015",37,"$88,407.00",26.00%,"$4,065.00",77.60%,"$50,158.00","$39,977.00",2018
32,Citigroup,"209,000",30,"$87,966.00",6.80%,"-$6,798.00",-145.60%,"$1,842,465.00","$172,822.00",2018
33,Comcast,"164,000",31,"$84,526.00",5.10%,"$22,714.00",161.20%,"$186,949.00","$158,703.00",2018
34,IBM,"397,800",32,"$79,139.00",-1.00%,"$5,753.00",-51.50%,"$125,356.00","$141,335.00",2018
35,Dell Technologies,"145,000",41,"$78,660.00",21.40%,"-$3,728.00",-,"$122,281.00",-,2018
36,State Farm Insurance Cos.,"65,664",33,"$78,331.00",2.90%,"$2,206.50",529.90%,"$272,345.00",-,2018
37,Johnson & Johnson,"134,000",35,"$76,450.00",6.30%,"$1,300.00",-92.10%,"$157,303.00","$343,780.00",2018
38,Freddie Mac,"6,165",39,"$74,676.00",13.70%,"$5,625.00",-28.00%,"$2,049,776.00",$878.00,2018
39,Target,"345,000",38,"$71,879.00",3.40%,"$2,934.00",7.20%,"$38,999.00","$37,409.00",2018
40,Lowe’s,"255,000",40,"$68,619.00",5.50%,"$3,447.00",11.40%,"$35,291.00","$72,812.00",2018
41,Marathon Petroleum,"43,800",51,"$67,610.00",21.00%,"$3,432.00",192.30%,"$49,047.00","$34,683.00",2018
42,Procter & Gamble,"95,000",36,"$66,217.00",-7.70%,"$15,326.00",45.90%,"$120,406.00","$199,865.00",2018
43,MetLife,"49,000",42,"$66,153.00",4.20%,"$4,010.00",401.30%,"$719,892.00","$47,572.00",2018
44,UPS,"346,415",46,"$65,872.00",8.20%,"$4,910.00",43.10%,"$45,403.00","$90,156.00",2018
45,PepsiCo,"263,000",44,"$63,525.00",1.20%,"$4,857.00",-23.30%,"$79,804.00","$154,933.00",2018
46,Intel,"102,700",47,"$62,761.00",5.70%,"$9,601.00",-6.90%,"$123,249.00","$243,109.00",2018
47,DowDuPont,"98,000",62,"$62,683.00",30.20%,"$1,460.00",-66.20%,"$192,164.00","$148,186.00",2018
48,Archer Daniels Midland,"31,300",45,"$60,828.00",-2.40%,"$1,595.00",24.70%,"$39,963.00","$24,238.00",2018
49,Aetna,"47,950",43,"$60,535.00",-4.10%,"$1,904.00",-16.20%,"$55,151.00","$55,229.00",2018
50,FedEx,"404,336",58,"$60,319.00",19.80%,"$2,997.00",64.70%,"$48,552.00","$64,161.00",2018
51,United Technologies,"204,700",50,"$59,837.00",4.50%,"$4,552.00",-10.00%,"$96,920.00","$100,667.00",2018
52,Prudential Financial,"49,705",48,"$59,689.00",1.50%,"$7,863.00",80.00%,"$831,921.00","$43,686.00",2018
53,Albertsons Cos.,"275,000",49,"$59,678.00",1.60%,-$373.30,-,"$23,755.00",-,2018
54,Sysco,"66,500",57,"$55,371.00",9.90%,"$1,142.50",20.30%,"$17,757.00","$31,294.00",2018
55,Disney,"199,000",52,"$55,137.00",-0.90%,"$8,980.00",-4.40%,"$95,789.00","$151,029.00",2018
56,Humana,"45,900",53,"$53,767.00",-1.10%,"$2,448.00",298.70%,"$27,178.00","$37,122.00",2018
57,Pfizer,"90,200",54,"$52,546.00",-0.50%,"$21,308.00",195.30%,"$171,797.00","$211,115.00",2018
58,HP,"49,000",61,"$52,056.00",7.90%,"$2,526.00",1.20%,"$32,913.00","$35,893.00",2018
59,Lockheed Martin,"100,000",56,"$51,048.00",0.80%,"$2,002.00",-62.20%,"$46,521.00","$96,589.00",2018
60,AIG,"49,800",55,"$49,520.00",-5.40%,"-$6,084.00",-,"$498,301.00","$49,145.00",2018
61,Centene,"33,700",66,"$48,572.00",19.30%,$828.00,47.30%,"$21,855.00","$18,704.00",2018
62,Cisco Systems,"72,900",60,"$48,005.00",-2.50%,"$9,609.00",-10.50%,"$129,818.00","$206,623.00",2018
63,HCA Healthcare,"221,491",63,"$47,653.00",6.50%,"$2,216.00",-23.30%,"$36,593.00","$34,165.00",2018
64,Energy Transfer Equity,"29,486",79,"$47,487.00",26.60%,$954.00,-4.10%,"$86,246.00","$15,335.00",2018
65,Caterpillar,"98,400",74,"$45,462.00",18.00%,$754.00,-,"$76,962.00","$88,078.00",2018
66,Nationwide,"33,135",68,"$43,940.00",9.60%,$246.50,-26.20%,"$221,257.00",-,2018
67,Morgan Stanley,"57,633",76,"$43,642.00",15.00%,"$6,111.00",2.20%,"$851,733.00","$96,688.00",2018
68,Liberty Mutual Insurance Group,"50,000",75,"$42,687.00",11.40%,$17.00,-98.30%,"$142,502.00",-,2018
69,New York Life Insurance,"11,114",65,"$42,296.00",3.70%,"$1,866.90",71.60%,"$303,183.00",-,2018
70,Goldman Sachs Group,"36,600",78,"$42,254.00",12.00%,"$4,286.00",-42.10%,"$916,776.00","$95,463.00",2018
71,American Airlines Group,"126,600",67,"$42,207.00",5.00%,"$1,919.00",-28.30%,"$51,396.00","$24,584.00",2018
72,Best Buy,"125,000",72,"$42,151.00",7.00%,"$1,000.00",-18.60%,"$13,049.00","$20,460.00",2018
73,Cigna,"46,000",70,"$41,616.00",4.90%,"$2,237.00",19.80%,"$61,753.00","$40,735.00",2018
74,Charter Communications,"94,800",96,"$41,581.00",43.40%,"$9,895.00",180.90%,"$146,623.00","$80,954.00",2018
75,Delta Air Lines,"86,564",71,"$41,244.00",4.00%,"$3,577.00",-18.20%,"$53,292.00","$38,746.00",2018
76,Facebook,"25,105",98,"$40,653.00",47.10%,"$15,934.00",56.00%,"$84,524.00","$464,190.00",2018
77,Honeywell International,"131,000",73,"$40,534.00",3.10%,"$1,655.00",-65.60%,"$59,387.00","$108,149.00",2018
78,Merck,"69,000",69,"$40,122.00",0.80%,"$2,394.00",-38.90%,"$87,872.00","$146,862.00",2018
79,Allstate,"42,680",84,"$38,524.00",5.40%,"$3,189.00",69.90%,"$112,422.00","$33,478.00",2018
80,Tyson Foods,"122,000",82,"$38,260.00",3.70%,"$1,774.00",0.30%,"$28,066.00","$29,233.00",2018
81,United Continental Holdings,"89,800",83,"$37,736.00",3.20%,"$2,131.00",-5.80%,"$42,326.00","$19,778.00",2018
82,Oracle,"138,000",81,"$37,728.00",1.80%,"$9,335.00",4.90%,"$134,991.00","$186,766.00",2018
83,Tech Data,"14,000",107,"$36,775.00",40.20%,$116.60,-40.20%,"$12,653.00","$3,249.00",2018
84,TIAA,"16,829",80,"$36,025.00",-2.90%,"$1,049.70",-29.70%,"$583,632.00",-,2018
85,TJX,"249,000",87,"$35,865.00",8.10%,"$2,607.90",13.50%,"$14,058.00","$51,571.00",2018
86,American Express,"55,000",86,"$35,583.00",5.20%,"$2,736.00",-49.40%,"$181,159.00","$80,234.00",2018
87,Coca-Cola,"61,800",64,"$35,410.00",-15.40%,"$1,248.00",-80.90%,"$87,896.00","$185,207.00",2018
88,Publix Super Markets,"193,000",85,"$34,837.00",1.60%,"$2,291.90",13.10%,"$18,184.00",-,2018
89,Nike,"74,400",88,"$34,350.00",6.10%,"$4,240.00",12.80%,"$23,259.00","$108,094.00",2018
90,Andeavor,"14,300",117,"$34,204.00",42.50%,"$1,528.00",108.20%,"$28,573.00","$15,386.00",2018
91,World Fuel Services,"5,000",103,"$33,696.00",24.70%,-$170.20,-234.50%,"$5,588.00","$1,661.00",2018
92,Exelon,"34,621",89,"$33,531.00",6.90%,"$3,770.00",232.50%,"$116,700.00","$37,644.00",2018
93,Massachusetts Mutual Life Insurance,"11,811",77,"$33,495.00",-11.40%,$513.00,-59.70%,"$288,855.00",-,2018
94,Rite Aid,"70,430",91,"$32,845.00",6.90%,$4.10,-97.60%,"$11,594.00","$1,793.00",2018
95,ConocoPhillips,"11,400",115,"$32,584.00",33.80%,-$855.00,-,"$73,362.00","$69,641.00",2018
96,CHS,"11,626",93,"$31,935.00",5.20%,$127.90,-69.90%,"$15,974.00",-,2018
97,3M,"91,536",94,"$31,657.00",5.10%,"$4,858.00",-3.80%,"$37,987.00","$130,550.00",2018
98,Time Warner,"26,000",95,"$31,271.00",6.70%,"$5,247.00",33.60%,"$69,209.00","$73,758.00",2018
99,General Dynamics,"98,600",90,"$30,973.00",-1.20%,"$2,912.00",-1.50%,"$35,046.00","$65,845.00",2018
100,USAA,"32,705",102,"$30,016.00",10.60%,"$2,421.90",36.10%,"$155,391.00",-,2018
101,Capital One Financial,"49,300",100,"$29,999.00",9.00%,"$1,982.00",-47.20%,"$365,693.00","$46,584.00",2018
102,Deere,"60,476",105,"$29,738.00",11.60%,"$2,159.10",41.70%,"$65,786.00","$50,291.00",2018
103,INTL FCStone,"1,607",189,"$29,424.00",99.40%,$6.40,-88.30%,"$6,243.00",$804.00,2018
104,Northwestern Mutual,"5,437",97,"$29,331.00",1.80%,"$1,017.00",24.30%,"$265,049.00",-,2018
105,Enterprise Products Partners,"7,000",122,"$29,242.00",27.00%,"$2,799.30",11.40%,"$54,418.00","$52,904.00",2018
106,Travelers Cos.,"30,800",99,"$28,902.00",4.60%,"$2,056.00",-31.80%,"$103,483.00","$37,691.00",2018
107,Hewlett Packard Enterprise,"66,000",59,"$28,871.00",-42.40%,$344.00,-89.10%,"$61,406.00","$27,243.00",2018
108,Philip Morris International,"80,600",104,"$28,748.00",7.70%,"$6,035.00",-13.40%,"$42,968.00","$154,514.00",2018
109,Twenty-First Century Fox,"21,700",101,"$28,500.00",4.30%,"$2,952.00",7.20%,"$50,724.00","$67,969.00",2018
110,AbbVie,"29,000",111,"$28,216.00",10.10%,"$5,309.00",-10.80%,"$70,786.00","$150,180.00",2018
111,Abbott Laboratories,"99,000",135,"$27,390.00",31.30%,$477.00,-65.90%,"$76,250.00","$104,640.00",2018
112,Progressive,"33,656",120,"$26,839.00",14.50%,"$1,592.20",54.40%,"$38,701.00","$35,478.00",2018
113,Arrow Electronics,"18,800",118,"$26,813.00",12.50%,$402.00,-23.10%,"$16,463.00","$6,750.00",2018
114,Kraft Heinz,"39,000",106,"$26,232.00",-1.00%,"$10,999.00",202.80%,"$120,232.00","$75,920.00",2018
115,Plains GP Holdings,"4,850",141,"$26,223.00",29.90%,-$731.00,-877.70%,"$26,753.00","$6,328.00",2018
116,Gilead Sciences,"10,000",92,"$26,107.00",-14.10%,"$4,628.00",-65.70%,"$70,283.00","$98,297.00",2018
117,Mondelez International,"83,000",109,"$25,896.00",-0.10%,"$2,922.00",76.10%,"$63,109.00","$62,066.00",2018
118,Northrop Grumman,"70,000",114,"$25,803.00",5.30%,"$2,015.00",-8.40%,"$34,917.00","$60,778.00",2018
119,Raytheon,"64,000",116,"$25,348.00",5.30%,"$2,024.00",-8.50%,"$30,860.00","$62,265.00",2018
120,Macy’s,"130,000",110,"$24,837.00",-3.70%,"$1,547.00",149.90%,"$19,381.00","$9,065.00",2018
121,US Foods Holding,"25,204",124,"$24,147.00",5.40%,$444.30,111.80%,"$9,037.00","$7,065.00",2018
122,U.S. Bancorp,"72,402",125,"$23,996.00",5.50%,"$6,218.00",5.60%,"$462,040.00","$83,367.00",2018
123,Dollar General,"129,000",128,"$23,471.00",6.80%,"$1,539.00",23.00%,"$12,517.00","$25,141.00",2018
124,International Paper,"56,000",133,"$23,302.00",10.50%,"$2,144.00",137.20%,"$33,903.00","$22,063.00",2018
125,Duke Energy,"29,060",121,"$23,189.00",-0.80%,"$3,059.00",42.10%,"$137,914.00","$54,276.00",2018
126,Southern,"31,344",145,"$23,031.00",15.80%,$842.00,-65.60%,"$111,005.00","$45,024.00",2018
127,Marriott International,"177,000",163,"$22,894.00",34.10%,"$1,372.00",75.90%,"$23,948.00","$48,531.00",2018
128,Avnet,"15,700",108,"$22,872.00",-12.80%,$525.30,3.70%,"$9,700.00","$5,009.00",2018
129,Eli Lilly,"40,655",132,"$22,871.00",7.80%,-$204.10,-107.50%,"$44,981.00","$84,542.00",2018
130,Amgen,"20,800",123,"$22,849.00",-0.60%,"$1,979.00",-74.40%,"$79,954.00","$122,842.00",2018
131,McDonald’s,"235,000",112,"$22,820.00",-7.30%,"$5,192.30",10.80%,"$33,804.00","$124,244.00",2018
132,Starbucks,"277,000",131,"$22,387.00",5.00%,"$2,884.70",2.40%,"$14,366.00","$81,370.00",2018
133,Qualcomm,"33,800",119,"$22,291.00",-5.40%,"$2,466.00",-56.80%,"$65,486.00","$82,027.00",2018
134,Dollar Tree,"116,200",136,"$22,246.00",7.40%,"$1,714.30",91.30%,"$16,333.00","$22,523.00",2018
135,PBF Energy,"3,165",172,"$21,787.00",36.80%,$415.50,143.30%,"$8,118.00","$3,752.00",2018
136,Icahn Enterprises,"89,034",168,"$21,744.00",33.00%,"$2,430.00",-,"$31,801.00","$9,901.00",2018
137,Aflac,"11,318",126,"$21,667.00",-4.00%,"$4,604.00",73.10%,"$137,217.00","$34,038.00",2018
138,AutoNation,"26,000",129,"$21,535.00",-0.30%,$434.60,1.00%,"$10,272.00","$4,296.00",2018
139,Penske Automotive Group,"26,000",142,"$21,389.00",6.20%,$613.30,78.90%,"$10,541.00","$3,817.00",2018
140,Whirlpool,"90,000",137,"$21,253.00",2.60%,$350.00,-60.60%,"$20,038.00","$10,824.00",2018
141,Union Pacific,"41,992",143,"$21,240.00",6.50%,"$10,712.00",153.10%,"$57,806.00","$104,261.00",2018
142,Southwest Airlines,"56,110",138,"$21,171.00",3.70%,"$3,488.00",55.40%,"$25,110.00","$33,678.00",2018
143,ManpowerGroup,"29,000",146,"$21,034.00",7.00%,$545.40,22.90%,"$8,884.00","$7,614.00",2018
144,Thermo Fisher Scientific,"66,100",154,"$20,918.00",14.50%,"$2,225.00",10.10%,"$56,669.00","$82,952.00",2018
145,Bristol-Myers Squibb,"23,700",147,"$20,776.00",6.90%,"$1,007.00",-77.40%,"$33,551.00","$103,415.00",2018
146,Halliburton,"55,000",173,"$20,620.00",29.80%,-$463.00,-,"$25,085.00","$41,068.00",2018
147,Tenet Healthcare,"111,980",134,"$20,613.00",-2.20%,-$704.00,-,"$23,385.00","$2,452.00",2018
148,Lear,"165,000",151,"$20,467.00",10.30%,"$1,313.40",34.70%,"$11,946.00","$12,453.00",2018
149,Cummins,"58,600",159,"$20,428.00",16.70%,$999.00,-28.30%,"$18,075.00","$26,757.00",2018
150,Micron Technology,"34,100",226,"$20,322.00",63.90%,"$5,089.00",-,"$35,336.00","$60,470.00",2018
151,Nucor,"25,100",169,"$20,252.00",25.00%,"$1,318.70",65.60%,"$15,841.00","$19,432.00",2018
152,Molina Healthcare,"20,000",156,"$19,883.00",11.80%,-$512.00,-1084.60%,"$8,471.00","$4,867.00",2018
153,Fluor,"56,706",149,"$19,521.00",2.50%,$191.40,-32.00%,"$9,328.00","$8,006.00",2018
154,Altria Group,"8,300",148,"$19,494.00",0.80%,"$10,222.00",-28.20%,"$43,202.00","$118,436.00",2018
155,Paccar,"25,000",164,"$19,456.00",14.20%,"$1,675.20",221.10%,"$23,440.00","$23,298.00",2018
156,Hartford Financial Services,"16,400",153,"$19,228.00",5.10%,"-$3,131.00",-449.40%,"$225,260.00","$18,392.00",2018
157,Kohl’s,"85,000",150,"$19,095.00",2.20%,$859.00,54.50%,"$13,340.00","$11,021.00",2018
158,Western Digital,"67,629",217,"$19,093.00",46.90%,$397.00,64.00%,"$29,860.00","$27,456.00",2018
159,Jabil,"170,000",152,"$19,063.00",3.90%,$129.10,-49.20%,"$11,096.00","$5,035.00",2018
160,Community Health Systems,"86,000",130,"$18,477.00",-13.60%,"-$2,459.00",-,"$17,450.00",$454.00,2018
161,Visa,"15,000",187,"$18,358.00",21.70%,"$6,699.00",11.80%,"$67,977.00","$270,222.00",2018
162,Danaher,"67,000",144,"$18,330.00",-7.90%,"$2,492.10",-2.40%,"$46,649.00","$68,385.00",2018
163,Kimberly-Clark,"42,000",155,"$18,259.00",0.30%,"$2,278.00",5.20%,"$15,151.00","$38,553.00",2018
164,AECOM,"87,000",161,"$18,203.00",4.60%,$339.40,253.10%,"$14,397.00","$5,671.00",2018
165,PNC Financial Services,"51,632",166,"$18,035.00",9.80%,"$5,338.00",36.80%,"$380,768.00","$71,323.00",2018
166,CenturyLink,"51,000",160,"$17,656.00",1.10%,"$1,389.00",121.90%,"$75,611.00","$17,578.00",2018
167,NextEra Energy,"14,000",170,"$17,195.00",6.40%,"$5,378.00",84.70%,"$97,827.00","$76,895.00",2018
168,PG&E Corp.,"23,000",157,"$17,135.00",-3.00%,"$1,646.00",18.20%,"$68,012.00","$22,664.00",2018
169,Synnex,"113,600",198,"$17,046.00",21.20%,$301.20,28.20%,"$7,699.00","$4,702.00",2018
170,WellCare Health Plans,"8,900",195,"$17,007.00",19.50%,$373.70,54.40%,"$8,365.00","$8,622.00",2018
171,Performance Food Group,"14,000",171,"$16,762.00",4.10%,$96.30,41.00%,"$3,804.00","$3,104.00",2018
172,Sears Holdings,"89,000",127,"$16,702.00",-24.60%,-$383.00,-,"$7,262.00",$288.00,2018
173,Synchrony Financial,"16,000",185,"$16,695.00",10.40%,"$1,935.00",-14.00%,"$95,808.00","$25,490.00",2018
174,CarMax,"24,344",174,"$16,637.00",5.10%,$627.00,0.60%,"$16,279.00","$11,202.00",2018
175,Bank of New York Mellon,"52,500",177,"$16,621.00",6.00%,"$4,090.00",15.30%,"$371,758.00","$51,919.00",2018
176,Freeport-McMoRan,"25,200",175,"$16,416.00",4.00%,"$1,817.00",-,"$37,302.00","$25,439.00",2018
177,Genuine Parts,"48,000",180,"$16,309.00",6.30%,$616.80,-10.30%,"$12,412.00","$13,183.00",2018
178,Emerson Electric,"76,500",139,"$16,301.00",-19.60%,"$1,518.00",-7.20%,"$19,589.00","$43,359.00",2018
179,DaVita,"74,500",181,"$16,038.00",5.50%,$663.60,-24.60%,"$18,948.00","$12,001.00",2018
180,Supervalu,"29,000",158,"$16,009.00",-8.70%,$650.00,265.20%,"$3,580.00",$585.00,2018
181,Gap,"135,000",178,"$15,855.00",2.20%,$848.00,25.40%,"$7,989.00","$12,147.00",2018
182,General Mills,"38,000",165,"$15,620.00",-5.70%,"$1,657.50",-2.40%,"$21,813.00","$26,716.00",2018
183,Nordstrom,"76,000",188,"$15,478.00",4.90%,$437.00,23.40%,"$8,115.00","$8,123.00",2018
184,Colgate-Palmolive,"35,900",182,"$15,454.00",1.70%,"$2,024.00",-17.10%,"$12,676.00","$62,607.00",2018
185,American Electric Power,"17,666",167,"$15,425.00",-5.80%,"$1,912.60",213.10%,"$64,729.00","$33,766.00",2018
186,XPO Logistics,"95,000",191,"$15,381.00",5.20%,$340.20,393.00%,"$12,602.00","$12,210.00",2018
187,Goodyear Tire & Rubber,"64,000",184,"$15,377.00",1.40%,$346.00,-72.60%,"$17,064.00","$6,392.00",2018
188,Omnicom Group,"77,300",179,"$15,274.00",-0.90%,"$1,088.40",-5.20%,"$24,931.00","$16,734.00",2018
189,CDW,"8,726",199,"$15,192.00",8.70%,$523.00,23.20%,"$6,957.00","$10,717.00",2018
190,Sherwin-Williams,"52,695",236,"$14,984.00",26.40%,"$1,772.30",56.50%,"$19,958.00","$36,899.00",2018
191,PPG Industries,"47,200",183,"$14,967.00",-1.40%,"$1,591.00",81.40%,"$16,538.00","$27,824.00",2018
192,Texas Instruments,"29,714",206,"$14,961.00",11.90%,"$3,682.00",2.40%,"$17,642.00","$102,135.00",2018
193,C.H. Robinson Worldwide,"15,074",212,"$14,869.00",13.10%,$504.90,-1.70%,"$4,236.00","$13,153.00",2018
194,WestRock,"44,800",190,"$14,860.00",1.00%,$708.20,-,"$25,089.00","$16,372.00",2018
195,Cognizant Technology Solutions,"260,000",205,"$14,810.00",9.80%,"$1,504.00",-3.20%,"$15,221.00","$47,338.00",2018
196,Newell Brands,"49,000",208,"$14,742.00",11.10%,"$2,748.80",420.80%,"$33,136.00","$12,363.00",2018
197,CBS,"14,715",193,"$14,710.00",2.30%,$357.00,-71.70%,"$20,843.00","$19,668.00",2018
198,Envision Healthcare,"57,750",538,"$14,701.00",220.40%,-$228.00,-,"$16,573.00","$4,647.00",2018
